PLAYERS,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Joseph Bramlett,311.0,183.94,0.5146,33.21,0.3543,0.6909,31.78,49.94,0.5527,0.588,9.92,8.24,11.36,7.71,0.0332,0.4386
Justin Lower,292.3,167.68,0.5952,27.74,0.2799,0.6404,32.74,54.26,0.3727,0.5327,12.33,8.66,15.96,8.76,0.0244,0.5296
Justin Rose,292.8,171.68,0.6632,27.43,0.2293,0.6667,32.17,50.98,0.4384,0.5128,9.55,8.72,15.62,7.13,0.0317,0.4653
Justin Suh,294.4,173.88,0.6291,24.88,0.2809,0.6559,31.92,51.47,0.3644,0.511,10.02,9.2,13.51,8.16,0.0161,0.5263
Justin Thomas,306.7,176.19,0.5799,24.63,0.262,0.6574,33.74,56.88,0.6927,0.5506,7.86,7.73,11.72,6.98,0.0437,0.5096
K.H. Lee,298.5,173.17,0.6266,25.84,0.2723,0.6838,33.41,58.69,0.4905,0.5315,8.82,7.67,9.49,6.63,0.0202,0.4902
Keegan Bradley,299.5,172.37,0.6149,24.68,0.262,0.663,31.93,50.69,0.5902,0.4879,11.51,9.24,13.73,8.3,0.0157,0.4717
Keith Mitchell,311.5,177.35,0.6471,28.52,0.2315,0.6636,33.56,57.41,0.62,0.4792,9.85,9.11,13.12,7.61,0.0237,0.4935
Kelly Kraft,284.0,161.95,0.6384,24.94,0.2945,0.5799,36.61,60.0,0.3897,0.4683,10.54,8.94,13.28,8.35,0.023,0.5212
Kevin Chappell,302.5,174.62,0.5598,37.65,0.3496,0.6632,37.88,61.78,0.5,0.5949,11.02,8.12,14.61,8.15,0.0208,0.4474
Kevin Kisner,281.0,164.57,0.5627,27.76,0.2434,0.5638,38.47,58.47,0.39,0.4329,15.86,8.12,16.85,8.71,0.0288,0.4304
Kevin Roy,301.9,177.41,0.5748,29.2,0.3374,0.663,31.45,48.41,0.4444,0.563,9.85,9.35,10.46,7.59,0.0217,0.3824
Kevin Streelman,295.4,168.52,0.5918,24.34,0.3171,0.655,32.9,51.63,0.4177,0.5215,8.77,7.49,12.31,7.16,0.0278,0.4497
Kevin Tway,307.9,181.85,0.4908,35.12,0.3674,0.6507,35.23,49.42,0.4976,0.5361,11.21,9.92,13.4,8.27,0.0292,0.4368
Kevin Yu,307.9,180.72,0.6278,29.16,0.3082,0.7349,29.67,48.15,0.4773,0.6319,9.8,10.16,15.35,7.74,0.0302,0.4444
Kramer Hickok,297.8,169.94,0.6271,27.14,0.289,0.6601,33.9,57.48,0.4615,0.4924,8.37,9.23,12.56,7.18,0.0392,0.4444
Kurt Kitayama,306.2,182.36,0.5484,36.04,0.3,0.6623,30.76,47.91,0.5143,0.5378,8.13,8.38,10.62,7.31,0.0365,0.4802
Kyle Stanley,297.9,167.8,0.6056,23.41,0.279,0.6731,33.46,58.24,0.4524,0.5493,9.77,7.98,11.42,7.77,0.0427,0.3766
Kyle Westmoreland,311.8,186.58,0.4755,46.54,0.3893,0.6705,33.63,52.74,0.4295,0.6013,10.44,10.0,12.23,8.72,0.0349,0.4776
Lee Hodges,299.3,172.98,0.6024,24.29,0.2722,0.6357,35.13,55.98,0.5417,0.482,11.4,7.79,13.17,7.96,0.0255,0.4599
Lucas Glover,291.1,167.84,0.6595,21.52,0.2424,0.65,31.31,53.78,0.3483,0.5169,10.94,8.1,11.96,7.32,0.0433,0.4836
Lucas Herbert,300.0,180.4,0.5301,31.51,0.2924,0.5995,33.07,53.27,0.617,0.4231,12.41,8.4,15.6,7.8,0.0255,0.4741
Luke Donald,281.9,164.75,0.5418,29.97,0.3206,0.5956,33.11,56.31,0.2577,0.5157,9.38,9.36,9.82,6.68,0.0333,0.5252
Luke List,310.6,180.45,0.5327,29.95,0.3462,0.6845,33.16,52.42,0.6201,0.6181,10.46,9.64,13.5,8.28,0.0346,0.3657
MJ Daffue,307.0,180.57,0.555,29.27,0.3139,0.6621,33.05,52.21,0.55,0.5638,7.97,7.7,11.99,7.35,0.0346,0.4259
Mackenzie Hughes,298.4,174.63,0.5294,31.68,0.3721,0.6288,35.75,54.52,0.5536,0.4618,10.74,7.72,12.69,7.19,0.0189,0.5044
Mark Hubbard,289.3,170.07,0.6227,25.0,0.2717,0.6667,33.23,53.59,0.5217,0.5108,9.02,8.53,10.09,7.54,0.0197,0.4599
Martin Laird,292.3,170.01,0.5949,25.2,0.3033,0.6353,34.78,58.47,0.4317,0.4688,8.63,9.21,14.88,7.78,0.0362,0.413
Martin Trainer,305.2,177.23,0.5641,34.47,0.3756,0.6398,39.59,60.91,0.4186,0.5508,12.26,7.34,9.99,8.02,0.0323,0.4466
Matt Fitzpatrick,305.1,177.35,0.6012,24.66,0.2841,0.6577,34.89,53.04,0.6309,0.5604,11.2,8.75,13.69,7.97,0.0195,0.4972
Matt Kuchar,294.1,166.05,0.6232,22.18,0.2415,0.6704,36.03,62.34,0.4629,0.5907,7.57,7.64,10.66,6.72,0.0222,0.5119
Matt NeSmith,291.9,171.4,0.6012,25.34,0.282,0.6655,33.02,51.14,0.49,0.5259,9.8,7.97,15.36,8.06,0.0283,0.4586
Matt Wallace,302.4,174.99,0.5522,34.04,0.3092,0.6486,33.89,53.22,0.5094,0.5018,10.69,7.11,13.65,7.33,0.0362,0.4807
Matthias Schwab,291.7,171.3,0.6118,30.39,0.2827,0.633,36.81,62.35,0.47,0.497,8.71,8.89,11.39,7.13,0.0264,0.3975
Matti Schmid,316.1,182.34,0.5659,37.78,0.3094,0.6504,34.03,50.96,0.4361,0.5344,9.85,9.53,9.18,8.15,0.0285,0.4524
Maverick McNealy,301.3,177.35,0.5507,35.46,0.2851,0.6371,35.01,53.32,0.4754,0.4965,9.24,10.51,15.3,7.82,0.0083,0.594
Max Homa,302.2,177.31,0.6188,25.62,0.2474,0.6715,30.96,50.64,0.6561,0.5061,8.63,8.28,13.29,7.36,0.0217,0.5076
Max McGreevy,286.3,165.72,0.5663,30.86,0.348,0.5854,37.41,61.72,0.3807,0.4444,7.76,8.35,13.21,7.65,0.0319,0.4213
Michael Gligic,303.4,175.97,0.5487,36.21,0.3343,0.6328,34.54,52.57,0.4706,0.5373,10.56,8.72,12.34,8.42,0.0312,0.3696
Michael Kim,302.5,172.46,0.5783,32.18,0.2922,0.6803,33.72,56.4,0.4103,0.6073,9.98,7.61,12.62,7.23,0.0224,0.4389
Michael Thompson,289.3,164.14,0.639,24.51,0.2623,0.6407,34.54,51.84,0.4973,0.5088,9.77,7.23,13.77,7.49,0.0235,0.459
Nate Lashley,294.6,167.11,0.6073,26.85,0.2609,0.677,31.61,52.99,0.435,0.5497,9.69,10.43,11.7,7.98,0.0141,0.4231
Nick Hardy,304.3,177.2,0.5674,30.8,0.3034,0.6858,31.84,47.65,0.519,0.5457,10.86,9.47,14.04,8.31,0.0239,0.3958
Nick Taylor,292.6,169.8,0.5872,24.43,0.2973,0.6515,32.5,55.1,0.4554,0.5492,9.55,7.84,11.01,7.17,0.0192,0.4772
Nick Watney,296.9,178.35,0.4647,41.02,0.3915,0.6124,33.87,54.22,0.3374,0.4939,10.01,8.49,10.05,7.77,0.0202,0.4213
Nico Echavarria,300.3,169.54,0.5717,29.04,0.2903,0.6292,34.73,57.63,0.463,0.5368,9.25,10.45,15.37,8.86,0.0121,0.4977
Patrick Cantlay,308.1,176.56,0.6623,22.49,0.2639,0.7047,32.46,50.47,0.7613,0.5912,9.65,7.53,8.88,6.75,0.0263,0.5283
Patrick Rodgers,306.9,177.71,0.538,28.4,0.3701,0.6581,34.63,57.14,0.506,0.5327,8.54,9.47,13.95,7.63,0.0214,0.4947
Patton Kizzire,301.2,172.21,0.5568,34.58,0.3017,0.6186,32.66,49.96,0.4641,0.4781,10.65,8.33,15.32,8.12,0.0214,0.4653
Paul Haley II,282.6,162.78,0.637,29.9,0.2927,0.6442,32.83,51.16,0.289,0.5134,8.48,9.67,11.79,7.59,0.0342,0.4939
Peter Malnati,293.5,170.69,0.5022,32.38,0.3565,0.5941,36.11,61.55,0.4063,0.4881,9.76,7.75,10.22,7.28,0.0215,0.5079
Philip Knowles,288.5,166.53,0.6293,23.12,0.309,0.6533,32.84,56.64,0.2826,0.4729,14.06,13.48,9.17,9.15,0.0311,0.5
