PLAYERS,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Aaron Baddeley,281.4,167.87,0.5994,27.71,0.2716,0.6522,33.82,54.68,0.3548,0.5234,9.68,7.26,13.65,7.03,0.0133,0.4576
Aaron Rai,292.0,172.03,0.6744,22.05,0.2514,0.6915,33.69,52.82,0.5178,0.5461,13.06,8.5,12.7,8.14,0.0308,0.4038
Aaron Wise,301.4,172.89,0.6017,30.47,0.2646,0.6364,37.52,55.91,0.5489,0.4565,11.43,7.7,11.02,7.52,0.0152,0.5128
Adam Hadwin,293.1,169.47,0.6396,28.15,0.2491,0.669,35.06,58.6,0.5051,0.5292,9.13,8.4,11.8,8.17,0.0197,0.5134
Adam Long,289.8,166.18,0.6492,25.75,0.2307,0.6436,37.28,60.49,0.3651,0.5032,9.69,7.35,10.38,7.4,0.0248,0.4632
Adam Schenk,305.0,181.25,0.5426,29.57,0.3438,0.6575,35.21,54.03,0.472,0.5425,8.25,9.04,10.7,7.18,0.0332,0.4926
Adam Scott,308.2,181.05,0.5465,23.64,0.3325,0.6441,32.21,48.35,0.6855,0.5317,7.86,10.19,12.56,7.6,0.0208,0.5054
Adam Svensson,289.8,171.14,0.6155,24.2,0.2901,0.6606,32.66,49.19,0.5447,0.519,9.49,8.56,11.84,7.03,0.0295,0.5179
Akshay Bhatia,302.7,174.68,0.6145,30.13,0.2556,0.7022,31.86,48.43,0.5648,0.625,10.14,10.1,15.59,9.14,0.0278,0.4359
Alex Noren,300.6,173.87,0.5451,27.21,0.3069,0.6361,34.49,57.37,0.5096,0.4921,8.09,7.78,8.73,7.07,0.0167,0.5066
Alex Smalley,302.0,173.54,0.5803,25.62,0.2964,0.6828,33.58,55.82,0.4367,0.5531,8.81,9.04,13.41,7.56,0.026,0.476
Anders Albertson,294.1,174.06,0.5359,32.94,0.3803,0.594,36.69,59.61,0.3816,0.4762,10.01,8.27,10.48,7.47,0.0171,0.5351
Andrew Landry,286.4,164.03,0.6359,23.82,0.285,0.5983,35.6,59.23,0.3577,0.467,9.82,5.73,9.13,7.65,0.0242,0.4362
Andrew Novak,295.2,169.9,0.5732,30.46,0.2723,0.656,33.09,51.39,0.4345,0.5415,9.73,7.55,10.93,7.38,0.0225,0.4628
Andrew Putnam,284.6,166.43,0.6399,23.16,0.2706,0.6906,35.38,57.64,0.4125,0.5325,8.1,8.4,11.46,7.48,0.0154,0.5045
Augusto Núñez,309.1,179.19,0.5457,35.02,0.3205,0.6803,31.85,45.32,0.4671,0.6006,8.89,7.93,13.84,7.34,0.0377,0.4476
Austin Cook,282.4,163.95,0.6486,24.63,0.2719,0.6285,33.73,51.92,0.2326,0.4899,8.88,9.07,11.11,7.38,0.0349,0.4676
Austin Eckroat,299.0,170.1,0.6189,25.3,0.2973,0.6528,33.11,51.98,0.5055,0.5693,11.1,9.55,13.91,8.67,0.031,0.4326
Austin Smotherman,299.4,172.13,0.5992,32.43,0.2732,0.6255,31.09,48.72,0.4608,0.4849,9.9,7.88,14.7,7.63,0.0319,0.4903
Beau Hossler,305.0,173.92,0.5695,30.98,0.2853,0.6593,37.02,53.76,0.5333,0.573,9.47,8.06,11.91,7.29,0.0204,0.4807
Ben Griffin,301.7,176.11,0.5305,32.94,0.3467,0.6496,34.51,56.85,0.4508,0.565,7.66,8.34,12.01,7.01,0.0231,0.4836
Ben Martin,293.8,171.45,0.6318,27.31,0.2764,0.6829,33.29,56.42,0.4511,0.5952,9.03,8.17,11.95,7.97,0.0282,0.4606
Ben Taylor,302.7,177.81,0.5239,33.44,0.3621,0.6649,33.15,50.38,0.4292,0.549,12.07,9.06,12.19,8.58,0.0233,0.5132
Bill Haas,296.4,169.04,0.5775,30.1,0.284,0.6399,38.6,60.86,0.3088,0.5823,7.27,7.97,10.65,6.74,0.0412,0.473
Billy Horschel,294.9,171.45,0.625,25.48,0.239,0.6422,36.85,63.98,0.5546,0.5111,9.13,7.88,7.88,6.55,0.0327,0.4675
Brandon Matthews,321.0,189.12,0.475,44.64,0.3993,0.6481,34.25,51.64,0.5088,0.5689,10.45,8.0,10.71,7.93,0.0328,0.4259
Brandon Wu,294.2,170.53,0.619,26.17,0.3044,0.6718,33.76,54.39,0.4777,0.5249,10.42,9.16,13.69,7.9,0.0231,0.4424
Brendan Steele,306.3,176.41,0.6291,33.49,0.3026,0.7184,30.17,54.21,0.4495,0.5068,9.74,8.56,12.31,8.25,0.0268,0.4125
Brendon Todd,281.7,160.04,0.671,23.78,0.2387,0.6495,32.98,54.88,0.3289,0.4783,9.0,8.04,10.73,6.86,0.0182,0.5357
Brent Grant,309.4,181.05,0.6226,32.18,0.2995,0.6539,34.76,52.55,0.4145,0.5538,8.81,9.26,12.43,8.46,0.0509,0.4439
Brian Harman,294.0,166.37,0.6919,19.04,0.2189,0.6927,32.9,53.13,0.4897,0.566,6.49,8.94,12.23,6.7,0.0215,0.5122
Brian Stuard,270.6,157.0,0.6192,23.52,0.2994,0.5883,34.86,59.01,0.1654,0.4757,9.94,8.3,9.31,7.56,0.0185,0.4601
Brice Garnett,287.7,165.11,0.6165,28.51,0.2906,0.6771,33.03,56.53,0.3856,0.5176,10.02,8.0,12.35,7.84,0.0255,0.451
Byeong Hun An,313.4,179.23,0.5039,36.46,0.339,0.6282,34.04,56.43,0.5137,0.5303,7.51,7.92,10.95,6.65,0.0239,0.4487
Callum Tarren,307.1,183.99,0.4894,37.99,0.3483,0.6492,33.07,54.11,0.5025,0.5319,11.44,8.89,14.95,8.8,0.0251,0.471
Cam Davis,310.4,179.83,0.5268,34.02,0.2848,0.6499,30.77,50.42,0.6059,0.4947,9.11,9.62,14.56,8.3,0.0349,0.4929
Cameron Champ,315.8,190.36,0.5752,30.83,0.2557,0.6497,36.14,59.3,0.5448,0.4785,13.68,9.7,16.25,10.01,0.037,0.4531
Cameron Percy,286.4,166.77,0.6282,34.22,0.2605,0.6595,35.35,56.72,0.4333,0.538,8.17,8.06,9.09,7.26,0.0287,0.5294
Cameron Young,318.2,186.54,0.5714,32.02,0.2875,0.6705,30.78,52.97,0.6914,0.5568,9.25,9.64,14.28,7.81,0.0265,0.4979
Carl Yuan,305.2,178.12,0.5338,36.81,0.3443,0.6667,31.75,52.07,0.5379,0.5333,8.43,9.69,10.83,8.08,0.0361,0.4506
Carson Young,296.0,168.06,0.6281,25.64,0.2946,0.6688,33.15,52.95,0.3526,0.5495,10.1,7.86,9.95,7.83,0.0273,0.4677
Chad Ramey,289.5,167.32,0.6042,25.79,0.2838,0.6444,34.52,56.11,0.445,0.4934,13.31,9.49,13.66,8.42,0.0313,0.5122
Charley Hoffman,305.3,174.04,0.5362,30.3,0.3333,0.6667,31.09,47.79,0.4303,0.5417,8.59,7.31,11.46,6.91,0.0296,0.399
Chesson Hadley,296.7,171.79,0.5511,31.77,0.3021,0.6556,33.42,56.43,0.4785,0.5192,9.11,10.73,12.61,8.62,0.0278,0.4342
Chez Reavie,287.1,162.02,0.6729,19.43,0.2317,0.6733,32.61,52.04,0.414,0.5286,11.46,8.85,12.64,8.34,0.0333,0.4394
Chris Kirk,297.4,167.89,0.6071,24.84,0.2875,0.6567,32.83,56.93,0.5074,0.5292,7.12,7.8,10.43,6.76,0.0109,0.4771
Chris Stroud,289.6,165.42,0.6177,28.97,0.3293,0.6738,34.1,57.89,0.3953,0.5732,10.31,8.54,14.14,7.54,0.0287,0.4262
Christiaan Bezuidenhout,287.2,167.19,0.6344,26.32,0.2536,0.6461,31.41,57.75,0.377,0.453,10.01,7.86,12.89,7.34,0.0157,0.4706
Cody Gribble,299.0,174.53,0.6219,27.76,0.2756,0.6597,33.74,51.74,0.4468,0.5964,9.52,7.65,11.19,7.3,0.0347,0.4464
Cole Hammer,292.4,170.58,0.5622,28.08,0.3277,0.6131,32.69,50.66,0.4673,0.497,11.21,8.24,13.0,8.63,0.0397,0.4696
Collin Morikawa,293.1,170.52,0.699,20.55,0.2274,0.7103,31.84,52.49,0.528,0.5311,10.79,8.32,10.99,7.38,0.0317,0.4
Corey Conners,298.8,175.48,0.6056,21.01,0.2847,0.7029,32.62,54.95,0.6417,0.6063,10.48,8.4,13.59,8.37,0.0242,0.4332
Danny Lee,289.8,170.1,0.6064,29.03,0.2673,0.6765,32.2,55.54,0.4538,0.5351,10.92,10.74,18.53,9.1,0.0425,0.4575
