PLAYERS,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Karl Vilips,306.5,178.33,0.58,33.35,0.2573,0.6793,33.74,56.81,0.5286,0.5159,9.96,7.7,17.41,7.92,0.0177,0.4435
Keegan Bradley,303.9,173.14,0.6194,23.2,0.2419,0.6652,32.62,58.56,0.5822,0.5392,9.75,7.98,13.45,6.71,0.0175,0.4267
Keith Mitchell,313.5,178.6,0.5859,29.36,0.3425,0.6974,33.59,55.14,0.7288,0.6083,9.73,7.96,12.51,7.29,0.038,0.4444
Kevin Roy,305.4,175.12,0.6388,28.51,0.2771,0.6785,33.26,51.87,0.5402,0.4939,8.02,9.01,13.83,7.29,0.0135,0.368
Kevin Velo,295.5,169.46,0.6257,23.29,0.2824,0.6622,34.41,52.41,0.5254,0.5078,7.97,6.61,12.42,6.47,0.0489,0.4865
Kevin Yu,305.4,178.91,0.6235,24.58,0.2711,0.6997,32.25,51.05,0.7101,0.5625,9.41,7.59,14.89,7.74,0.0345,0.4215
Kris Ventura,309.6,179.41,0.6012,30.24,0.3028,0.6682,32.1,49.69,0.5315,0.5381,12.88,7.06,14.31,7.7,0.0247,0.4699
Kurt Kitayama,315.8,180.09,0.5388,32.15,0.327,0.6463,30.85,46.16,0.7327,0.5368,8.76,8.7,11.63,6.74,0.0204,0.4489
Lanto Griffin,297.5,174.97,0.5915,23.42,0.3035,0.638,34.89,53.84,0.6237,0.5517,10.45,8.04,11.66,7.67,0.0305,0.4451
Lee Hodges,305.6,173.09,0.625,28.22,0.273,0.6902,33.3,58.94,0.7024,0.5778,9.46,7.89,13.53,7.52,0.0235,0.513
Lucas Glover,290.2,166.44,0.7082,19.99,0.2096,0.6547,30.29,46.67,0.5,0.5,8.24,7.41,12.67,6.71,0.0255,0.484
Ludvig Åberg,308.1,181.64,0.5829,30.12,0.2746,0.6398,30.19,45.01,0.6226,0.4795,8.42,10.1,14.26,7.68,0.0345,0.478
Luke List,310.9,178.0,0.5915,34.31,0.3003,0.6362,35.04,51.65,0.6842,0.5402,8.46,8.58,16.48,7.86,0.0251,0.4551
Mac Meissner,300.1,169.73,0.5594,33.04,0.2995,0.6155,34.17,54.73,0.563,0.487,7.29,7.07,8.71,5.98,0.0292,0.5023
Mackenzie Hughes,301.5,174.9,0.5668,35.83,0.2805,0.6594,34.97,57.12,0.5797,0.5727,9.53,6.55,10.99,6.68,0.0234,0.4444
Mark Hubbard,300.3,172.03,0.6044,27.6,0.3073,0.6343,33.03,49.41,0.6038,0.5178,9.87,9.68,13.29,7.78,0.0231,0.4466
Mason Andersen,299.9,171.59,0.5592,32.28,0.3598,0.5968,37.28,58.41,0.4545,0.5484,9.19,9.26,10.32,7.34,0.0233,0.4648
Matt Fitzpatrick,298.5,176.89,0.6156,22.21,0.2745,0.663,34.15,48.76,0.5965,0.5153,7.05,8.34,8.69,7.18,0.0352,0.4637
Matt Kuchar,285.6,161.14,0.605,23.65,0.2741,0.609,33.39,53.44,0.4045,0.5105,8.35,7.14,11.77,6.05,0.015,0.5256
Matt McCarty,295.0,168.15,0.6617,24.04,0.2392,0.6595,33.95,54.96,0.5906,0.5549,10.57,8.61,14.04,7.54,0.0271,0.4744
Matt Wallace,304.0,174.66,0.5615,32.85,0.3231,0.6581,34.59,50.3,0.5652,0.6115,6.2,6.26,8.82,5.7,0.0491,0.4078
Matteo Manassero,284.0,167.35,0.5876,34.13,0.2829,0.6325,36.75,60.84,0.4286,0.4589,6.87,7.23,9.21,6.32,0.0299,0.5703
Matthew Riedel,303.3,176.75,0.5558,34.71,0.3543,0.6537,35.73,53.04,0.5333,0.5464,9.71,8.02,12.11,7.9,0.0315,0.4884
Matthieu Pavon,297.1,173.89,0.5883,27.26,0.2531,0.6213,33.56,52.14,0.5986,0.5068,12.08,8.74,14.99,8.38,0.0292,0.563
Matti Schmid,310.9,180.27,0.5622,37.44,0.3065,0.6841,31.79,46.93,0.6517,0.5829,10.02,8.6,11.93,7.94,0.0206,0.4625
Maverick McNealy,303.9,176.26,0.5763,27.31,0.2972,0.6894,33.25,52.43,0.6329,0.5824,9.13,9.21,12.45,8.1,0.0278,0.4674
Max Greyserman,306.3,177.89,0.5348,32.79,0.324,0.6525,32.81,51.05,0.5918,0.4911,7.85,7.74,10.26,6.9,0.0233,0.4919
Max Homa,297.0,175.31,0.5733,25.17,0.2809,0.607,34.96,55.4,0.6078,0.4417,7.63,7.74,14.03,7.08,0.0329,0.4645
Max McGreevy,297.2,168.66,0.6822,24.81,0.2081,0.662,34.66,55.51,0.6579,0.4777,7.31,9.04,17.13,7.46,0.0201,0.4158
Michael Kim,300.7,174.09,0.5807,29.81,0.2903,0.6727,32.25,52.09,0.6159,0.5811,7.96,6.97,14.25,6.26,0.0193,0.4797
Michael Thorbjornsen,316.2,180.56,0.5779,31.52,0.3507,0.6973,32.98,47.95,0.5714,0.6369,11.18,6.13,12.73,7.81,0.0307,0.4
Min Woo Lee,314.8,187.9,0.5424,40.32,0.3195,0.6536,32.29,52.4,0.6017,0.5463,8.49,7.46,12.81,6.28,0.0229,0.5525
Nate Lashley,297.3,168.52,0.5639,27.2,0.3257,0.6476,32.7,52.05,0.5052,0.5707,12.49,6.79,13.76,7.05,0.0278,0.5148
Nick Dunlap,293.8,179.69,0.4644,36.15,0.3512,0.6327,32.64,53.52,0.5827,0.5129,8.83,8.19,15.04,7.4,0.0216,0.5455
Nick Hardy,307.9,176.83,0.5806,29.62,0.3364,0.6893,33.36,51.71,0.5932,0.609,7.52,8.59,12.82,7.61,0.0206,0.3796
Nick Taylor,290.7,168.1,0.6619,23.92,0.2474,0.7,33.51,54.46,0.5852,0.5211,9.01,7.9,9.61,6.69,0.0236,0.4632
Nico Echavarria,293.2,169.05,0.6226,24.22,0.2857,0.6667,32.43,51.2,0.5333,0.5361,8.19,9.29,13.58,7.88,0.0225,0.5243
Nicolai Højgaard,310.3,185.58,0.5735,39.2,0.308,0.6917,32.34,51.35,0.7143,0.5517,11.63,7.4,9.5,7.44,0.0222,0.4595
