PLAYERS,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Brandt Snedeker,285.4,161.31,0.6684,26.12,0.2361,0.6329,39.41,70.08,0.4861,0.5313,12.7,7.72,10.79,7.53,0.0258,0.5338
Brian Campbell,275.2,161.21,0.69,27.21,0.24,0.659,33.68,52.7,0.3333,0.5242,9.74,5.98,9.15,6.4,0.0287,0.5102
Brian Harman,291.1,166.64,0.6262,22.41,0.2641,0.6889,31.26,51.34,0.5897,0.5359,7.94,7.37,12.48,6.62,0.0247,0.444
Brice Garnett,286.6,164.21,0.7,23.22,0.211,0.7014,34.47,58.8,0.5392,0.5778,8.57,8.47,11.81,6.83,0.0226,0.5032
Bud Cauley,303.8,171.72,0.5505,27.96,0.2909,0.6796,31.4,55.88,0.5429,0.5936,8.13,6.58,10.78,6.42,0.0315,0.546
Byeong Hun An,303.6,177.07,0.5639,31.68,0.2894,0.6389,33.49,54.29,0.6596,0.5345,9.36,8.04,12.27,7.17,0.0249,0.3981
C.T. Pan,294.0,165.94,0.6227,23.54,0.2492,0.6343,34.77,51.87,0.5778,0.5447,9.02,6.84,13.17,7.09,0.0278,0.4354
Cam Davis,298.9,176.63,0.5584,31.54,0.2982,0.6409,31.18,49.01,0.6535,0.4655,8.54,7.68,9.64,6.52,0.0278,0.4451
Cameron Young,310.7,182.68,0.4962,32.85,0.3524,0.6036,36.66,60.64,0.6875,0.5611,8.39,9.05,12.7,7.38,0.0225,0.4579
Camilo Villegas,291.2,170.16,0.5193,37.5,0.3442,0.6389,33.77,58.22,0.433,0.5025,8.63,8.12,10.35,7.61,0.0241,0.4305
Carson Young,293.3,167.55,0.6507,23.25,0.2612,0.6704,33.5,56.94,0.5765,0.5411,9.4,8.86,13.94,7.52,0.0333,0.4375
Chad Ramey,292.0,168.02,0.6004,25.78,0.3201,0.6667,34.01,50.13,0.5146,0.5714,8.79,8.37,13.64,7.18,0.018,0.48
Chan Kim,301.4,173.64,0.617,30.87,0.2593,0.6667,34.77,56.44,0.6549,0.5417,7.66,8.68,12.98,7.07,0.019,0.402
Chandler Phillips,296.0,169.01,0.6107,31.09,0.2575,0.6111,34.94,51.46,0.5504,0.5025,12.14,8.08,14.99,7.59,0.0225,0.4245
Charley Hoffman,306.0,173.91,0.6,28.94,0.3179,0.6748,30.62,47.85,0.6869,0.5904,8.26,8.83,8.36,6.66,0.0359,0.3977
Chris Gotterup,312.3,183.18,0.5389,38.45,0.3561,0.6922,35.06,55.48,0.6038,0.6287,8.47,8.79,11.37,7.56,0.0345,0.4971
Chris Kirk,298.1,171.07,0.5965,28.01,0.2902,0.6698,33.35,59.04,0.6667,0.522,10.18,8.49,13.05,7.06,0.0278,0.3857
Christiaan Bezuidenhout,285.4,166.77,0.6173,20.96,0.2662,0.6411,35.05,56.37,0.3869,0.4724,7.41,9.43,9.79,6.86,0.0195,0.5399
Collin Morikawa,293.1,171.57,0.7247,21.47,0.1563,0.7004,29.78,49.43,0.5421,0.5505,8.45,8.01,10.96,7.44,0.0278,0.4689
Corey Conners,294.3,175.29,0.6633,23.35,0.2533,0.6984,31.23,51.37,0.5802,0.5101,9.54,6.86,10.38,7.25,0.0317,0.4407
Cristobal Del Solar,298.2,172.37,0.5188,38.89,0.3875,0.6214,34.36,56.84,0.5397,0.5754,9.33,9.05,11.88,8.14,0.0144,0.4959
Daniel Berger,300.4,173.4,0.6857,24.0,0.2375,0.675,31.39,48.14,0.5846,0.5341,8.29,8.14,12.48,6.76,0.0292,0.4803
Danny Walker,306.1,178.6,0.5516,34.52,0.3048,0.6398,33.92,52.19,0.6173,0.555,10.79,9.45,13.68,7.91,0.0305,0.3966
Danny Willett,290.7,167.76,0.6075,27.14,0.3889,0.642,35.43,51.86,0.4091,0.5342,6.2,8.45,19.5,6.73,0.0206,0.5185
