PLAYERS,Year_to_Model,Avg_Score,Predicted_Avg_Score,Weighted_Avg_Past_Score_Z,Average Driving Distance,Ball Speed,Driving Accuracy,Distance From Edge of Fairway,Rough Tendency,GIR,Fairway Proximity,Approaches from > 200,Going for Green,GIR from Other than Fairway,Proximity from Sand (Short),Proximity from Rough (Short),Proximity from 30+,Proximity ATG,3-Putt Avoidance,Putting 5-15ft
Taylor Moore,2022,68.0,68.77,-0.1,0.4775,0.5448,-0.2087,0.344,0.0414,-0.1438,-0.1046,0.5522,0.4728,0.3727,-0.5504,0.0487,-0.8875,-0.4091,0.1047,2.0291
Trey Mullinax,2022,68.0,69.22,-0.1,1.399,1.5924,-2.3536,-2.0944,-2.1438,-1.0366,0.1775,0.5355,0.8925,-0.5956,0.0025,0.2951,-0.704,-0.4565,-0.9242,-0.8791
Patrick Rodgers,2022,68.0,68.8,0.3982,0.9382,0.7854,-0.9746,0.0972,-1.7945,0.0727,-0.5503,-0.8149,0.3009,0.0801,0.7752,-0.8898,-0.833,0.065,0.7774,0.801
Adam Scott,2022,68.0,68.0,-0.1,1.0809,1.3321,-0.8143,1.0759,-0.9072,-0.4008,0.8151,1.6275,1.9421,0.0563,1.2281,-1.5723,-0.1435,0.1124,0.8565,1.0597
Cameron Champ,2022,68.25,68.66,0.2552,1.9146,2.856,-0.2729,-0.4024,0.905,-0.2114,-1.4022,-1.415,0.6557,-1.2094,-2.6487,-1.1078,-1.9738,-3.696,-1.2803,-0.2046
Stephan Jaeger,2022,68.25,68.04,-0.1,0.6091,0.4498,-0.818,-0.2564,-0.9568,1.4998,0.4258,0.7911,1.218,1.3815,1.015,0.4752,0.6303,0.7287,-0.1723,-0.4439
J.J. Spaun,2022,68.25,68.07,0.3982,-0.1149,-0.4422,0.6534,1.1931,0.4001,1.2327,0.3807,-0.8093,0.4929,0.6415,0.5287,-0.0461,0.4021,0.3653,0.474,0.1411
Emiliano Grillo,2022,68.5,68.53,-0.1,0.4007,-0.3358,0.5251,0.0417,0.3198,0.9418,0.454,-0.5759,0.4088,0.3013,-0.0375,-0.0935,0.66,-0.3933,0.2234,-0.5237
Justin Lower,2022,68.5,69.66,-0.1,-0.6634,-0.8564,0.1044,0.2329,0.334,-0.5259,0.5161,-0.0146,-0.9178,0.0801,-1.7494,-0.122,-1.8299,-1.7207,0.3817,1.6447
Andrew Novak,2022,68.5,68.8,-0.1,-0.3453,-0.493,-0.3106,-0.3263,0.5133,0.0017,0.3186,0.7828,-0.3528,0.2894,-0.0175,0.9302,0.665,0.4601,0.6323,0.0299
Aaron Rai,2022,68.5,68.69,-0.1,-0.6963,-0.1443,1.5985,1.4028,1.0065,1.2022,-0.0199,0.3855,0.4088,0.3989,-2.2357,0.0297,-0.2129,-0.7409,-0.4625,-1.3964
Callum Tarren,2022,68.5,69.01,-0.1,0.9602,1.8134,-1.8915,-1.8744,-1.2801,-0.2283,0.3299,0.027,0.2689,0.061,-1.1566,-0.34,-1.329,-1.7839,0.2893,0.2281
Joseph Bramlett,2022,68.75,68.45,1.5423,1.388,1.8052,-1.4161,-0.8917,-1.4217,1.1819,1.0577,1.1857,0.7279,1.3957,-0.1441,0.2762,0.4517,-0.0614,-0.7791,-0.5551
Jason Day,2022,68.75,67.75,0.2552,0.5214,0.1847,0.693,-0.0302,1.0844,1.1143,-0.4374,-0.0758,1.1604,0.4917,0.0025,1.3947,0.4269,0.8709,0.6719,1.432
Aaron Wise,2022,68.75,68.34,0.2552,0.3349,-0.0036,0.2271,-0.3283,0.695,-0.6612,-2.1808,-0.4731,0.6932,-1.7328,-1.1499,0.788,0.6204,0.2388,1.5952,1.2386
Brandon Wu,2022,68.75,68.96,-0.1,-0.455,-0.3899,0.5534,0.5557,-0.2442,0.536,-0.0594,-0.0508,0.0422,-0.1055,-0.4771,-0.5959,-0.704,-0.3617,0.5532,-0.4633
Tyler Duncan,2022,69.0,69.48,-1.461,-0.2356,-0.6796,1.1496,0.9299,0.6785,0.6138,-0.0143,0.4383,0.1473,0.0063,-0.9368,-1.468,-1.0562,-1.5627,-1.9003,-0.5382
Tommy Fleetwood,2022,69.0,67.9,-0.1,0.1703,0.296,0.2157,-0.0241,1.1103,-1.023,-0.6688,-0.3953,1.4868,-1.4378,1.4013,0.9018,0.8832,1.3134,0.3157,1.05
Matthias Schwab,2022,69.0,68.94,-0.1,-0.7292,-0.2638,0.4176,-0.3119,0.2679,-0.7762,-1.7802,-2.2625,-0.0282,-0.7693,0.6619,-0.34,0.4368,0.8551,0.1179,-1.5487
Bill Haas,2022,69.25,69.76,-0.6029,-0.2136,-0.6338,-0.2295,-0.2523,0.2372,-0.5428,-2.7901,-1.8485,-1.502,1.2601,1.6211,0.5321,0.8039,1.4714,-1.8343,0.2765
Dylan Frittelli,2022,69.5,69.9,-0.1,0.7408,0.5906,-2.3084,-2.0615,-1.8417,-2.3048,-0.6744,-0.6843,-0.6197,-1.6377,-0.0975,0.2667,0.4716,-0.1246,-0.0668,-0.4367
Chesson Hadley,2022,69.5,68.96,-0.6029,-0.1807,-0.1836,-0.7275,-0.5956,-0.1899,-0.0119,0.1324,-0.6176,0.0495,-0.2411,0.3955,-2.0841,-0.1683,-1.4995,-0.0668,-0.6615
Adam Svensson,2022,69.5,68.67,-0.1,-0.9377,-0.29,0.4874,0.9607,0.0933,0.1572,0.5612,1.3941,0.6548,-0.2459,0.1423,-0.0272,0.2136,1.0132,-0.291,1.3619
